SpreadsheetImportPlus v1,,,,,,,,,,,,,,
từ vựng,nghĩa,loại từ,giải thích,ví dụ,nghĩa ví dụ,collocation,synonym,antonym,tag_1,tag_2,tag_3,tag_4,id,_tags
text,text,text,markdown,markdown,markdown,markdown,markdown,markdown,text,text,text,text,text,html
,,,,,,,,,,,,,,
소개,sự giới thiệu,Danh từ,,이것은 자기 **소개**예요.,Đây là phần **giới thiệu** bản thân.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00001,THTH::Quyển-01::Bài-01::1.Quốc_gia
기본,cơ bản,Danh từ,,이것은 **기본**이에요.,Đây là cái **cơ bản**.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00002,THTH::Quyển-01::Bài-01::1.Quốc_gia
어휘,từ vựng,Danh từ,,이것은 **어휘**예요.,Đây là **từ vựng**.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00003,THTH::Quyển-01::Bài-01::1.Quốc_gia
기본 어휘,từ vựng cơ bản,Cụm Danh từ,,이것은 **기본 어휘**예요.,Đây là **từ vựng cơ bản**.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00004,THTH::Quyển-01::Bài-01::1.Quốc_gia
나라,"quốc gia, nước",Danh từ,,베트남은 제 **나라**예요.,Việt Nam là **nước** tôi.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00005,THTH::Quyển-01::Bài-01::1.Quốc_gia
한국,Hàn Quốc,Danh từ,,여기는 **한국**이에요.,Đây là **Hàn Quốc**.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00006,THTH::Quyển-01::Bài-01::1.Quốc_gia
베트남,Việt Nam,Danh từ,,저는 **베트ナム** 사람이에요.,Tôi là người **Việt Nam**.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00007,THTH::Quyển-01::Bài-01::1.Quốc_gia
말레이시아,Malaysia,Danh từ,,저는 **말레이시아** 사람이에요.,Tôi là người **Malaysia**.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00008,THTH::Quyển-01::Bài-01::1.Quốc_gia
일본,Nhật Bản,Danh từ,,저는 **일본** 사람이에요.,Tôi là người **Nhật Bản**.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00009,THTH::Quyển-01::Bài-01::1.Quốc_gia
미국,Hoa Kỳ (Mỹ),Danh từ,,저는 **미국** 사람이에요.,Tôi là người **Mỹ**.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00010,THTH::Quyển-01::Bài-01::1.Quốc_gia
중국,Trung Quốc,Danh từ,,저는 **중국** 사람이에요.,Tôi là người **Trung Quốc**.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00011,THTH::Quyển-01::Bài-01::1.Quốc_gia
태국,Thái Lan,Danh từ,,저는 **태국** 사람이에요.,Tôi là người **Thái Lan**.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00012,THTH::Quyển-01::Bài-01::1.Quốc_gia
호주,Australia (Úc),Danh từ,,저는 **호주** 사람이에요.,Tôi là người **Úc**.,,,,THTH,Quyển_01,Bài_01,,THTH-01-00013,THTH::Quyển-01::Bài-01::1.Quốc_gia
